track,name,leverage,window,tc_bps,geo_monthly,mean_monthly,sharpe,max_drawdown,calmar,turnover_ann,source,drag_meas_mo,drag_pred_mo,drag_dev_ratio,drag_flag_gt30pct
champion,combo_v2_1.5x,1.5,full,50.0,0.02834024681652636,0.035185995021428496,0.9764053800372807,-0.4896513910871705,0.8137096970469921,12.320931267475368,results/v7/trials/tc_recal.csv name=combo_v2_1.5x_tc50 window=full,0.004749573521900086,0.004620349225303263,0.02796851283213142,
champion,combo_v2_1.5x,1.5,dev,50.0,0.023396013935089277,0.02937145843975082,0.8667983598589823,-0.4896513910871705,0.6532203068086896,11.37808672318871,results/v7/trials/tc_recal.csv name=combo_v2_1.5x_tc50 window=dev,0.004373630186905508,0.0042667825211957664,0.025041741682160445,
champion,combo_v2_1x,1.0,full,25.0,0.023739319731758357,0.026817148886071424,1.0949524751573818,-0.34955855032668925,0.9302392632935115,8.21395417831691,results/v7/trials/tc_recal.csv name=combo_v2_1x_tc25 window=full,0.0013975369575451868,0.0013689923630528186,0.020850806230003016,
champion,combo_v2_1x,1.0,dev,25.0,0.020034057670235805,0.022762192296103455,0.9814106588173921,-0.34955855032668925,0.768826981425676,7.585391148792473,results/v7/trials/tc_recal.csv name=combo_v2_1x_tc25 window=dev,0.0012887408759152397,0.0012642318581320788,0.01938648961067413,
champion,combo_v2_1x,1.0,full,30.0,0.023389897759446665,0.026463546952138615,1.0811961097115688,-0.34980648381764345,0.9140927773811478,8.21395417831691,results/v7/trials/tc_recal.csv name=combo_v2_1x_tc30 window=full,0.0017469589298568788,0.0017112404538160231,0.020872856272889262,
champion,combo_v2_1x,1.0,dev,30.0,0.0197118290257563,0.022434471171161496,0.9680491702755406,-0.34980648381764345,0.754556673267078,7.585391148792473,results/v7/trials/tc_recal.csv name=combo_v2_1x_tc30 window=dev,0.001610969520394745,0.0015802898226650985,0.019413969064172143,
champion,combo_v2_1x,1.0,full,50.0,0.021992058582813057,0.025049221545544547,1.02599803167748,-0.35079821778146125,0.8503054590954685,8.21395417831691,results/v7/trials/tc_recal.csv name=combo_v2_1x_tc50 window=full,0.0031447981064904873,0.0030802328168688413,0.020961171917932786,
champion,combo_v2_1x,1.0,dev,50.0,0.0184227403696553,0.021123709135985075,0.9144493016547459,-0.35079821778146125,0.6981433006439088,7.585391148792473,results/v7/trials/tc_recal.csv name=combo_v2_1x_tc50 window=dev,0.0029000581764957456,0.0028445216807971773,0.01952401912542423,
wf_process,wf_process_2x,2.0,2019on,5.0,0.03397651546645153,0.04195304093360152,1.0312740469152288,-0.577278306767842,0.8544142008760938,25.73735022356607,results/v7/wf/wf_results.csv name=wf_process_2x (re-render asserted equal),,,,
wf_process,wf_process_2x,2.0,dev(2019-22),5.0,0.0231066422900017,0.027002414503840017,0.8460290947796629,-0.4827798950981257,0.6532559493074738,27.55975237092746,derived: tc5 re-render equity sliced 2019-01-01..DEV_END (engine day-causal; asserted vs wf_results.csv on 2019on),,,,
wf_process,wf_process_2x,2.0,2019on,25.0,0.029566352131384477,0.037552131633881956,0.9334484883049,-0.5784451259121124,0.7236197241336957,25.73735022356607,results/v7/trials/tc_recal.csv name=wf_process_2x_tc25 window=full (2019on slice per WS3 convention),0.004410163335067052,0.004289558370594345,0.028115939696607306,
wf_process,wf_process_2x,2.0,dev(2019-22),25.0,0.018416426246467665,0.022331656867284153,0.7205786920564647,-0.4844761570004229,0.5053185911522984,27.55975237092746,derived: tc_recal.csv wf_process_2x_tc25 equity sliced 2019-01-01..DEV_END,0.0046902160435340345,0.004593292061821243,0.0211012015801062,
wf_process,wf_process_2x,2.0,2019on,30.0,0.028465066598976296,0.0364538076882991,0.9089311997058769,-0.5787368306981799,0.6919766028608416,25.73735022356607,results/v7/trials/tc_recal.csv name=wf_process_2x_tc30 window=full (2019on slice per WS3 convention),0.005511448867475233,0.005361947963242931,0.02788182676466744,
wf_process,wf_process_2x,2.0,dev(2019-22),30.0,0.017245316825656554,0.02116599219035286,0.689141959321004,-0.4906517712491021,0.46416954436877716,27.55975237092746,derived: tc_recal.csv wf_process_2x_tc30 equity sliced 2019-01-01..DEV_END,0.005861325464345146,0.005741615077276554,0.020849601629054915,
wf_process,wf_process_2x,2.0,2019on,50.0,0.02406494075261212,0.03206810601182924,0.8106764227714164,-0.5799036498424498,0.5694737803199459,25.73735022356607,results/v7/trials/tc_recal.csv name=wf_process_2x_tc50 window=full (2019on slice per WS3 convention),0.00991157471383941,0.009651506333837276,0.02694588502629469,
wf_process,wf_process_2x,2.0,dev(2019-22),50.0,0.012566650943086621,0.016511412754140777,0.5632204175221859,-0.5166767322907189,0.3129070127011727,27.55975237092746,derived: tc_recal.csv wf_process_2x_tc50 equity sliced 2019-01-01..DEV_END,0.010539991346915079,0.010334907139097797,0.019843836529641612,
wf_process,wf_process_1.5x,1.5,2019on,5.0,0.02906449852420523,0.033335624242202495,1.0624293662496591,-0.463968878674051,0.8843240632186015,19.6472792047503,results/v7/wf/wf_results.csv name=wf_process_1.5x (re-render asserted equal),,,,
wf_process,wf_process_1.5x,1.5,dev(2019-22),5.0,0.020368572525607975,0.022250851554791323,0.8775329811811691,-0.38169590268989695,0.7171992635973435,21.29134016141675,derived: tc5 re-render equity sliced 2019-01-01..DEV_END (engine day-causal; asserted vs wf_results.csv on 2019on),,,,
wf_process,wf_process_1.5x,1.5,2019on,25.0,0.02571219193502028,0.02999456565383686,0.9644721453161854,-0.46509033785245524,0.7657550321871965,19.6472792047503,results/v7/trials/tc_recal.csv name=wf_process_1.5x_tc25 window=full (2019on slice per WS3 convention),0.00335230658918495,0.0032745465341250503,0.02374681631472897,
wf_process,wf_process_1.5x,1.5,dev(2019-22),25.0,0.016753463073051034,0.018645728879433734,0.7535123660705024,-0.3940612607132653,0.5599152672105691,21.29134016141675,derived: tc_recal.csv wf_process_1.5x_tc25 equity sliced 2019-01-01..DEV_END,0.0036151094525569416,0.003548556693569458,0.018754881134656065,
wf_process,wf_process_1.5x,1.5,2019on,30.0,0.024874853406745112,0.02916042949914128,0.9399197228339364,-0.4653707026470558,0.7368742957803194,19.6472792047503,results/v7/trials/tc_recal.csv name=wf_process_1.5x_tc30 window=full (2019on slice per WS3 convention),0.004189645117460117,0.004093183167656313,0.023566487462870267,
wf_process,wf_process_1.5x,1.5,dev(2019-22),30.0,0.015850567673775906,0.017745700543365977,0.722430499182623,-0.3999585261059152,0.5192959538795957,21.29134016141675,derived: tc_recal.csv wf_process_1.5x_tc30 equity sliced 2019-01-01..DEV_END,0.004518004851832069,0.0044356958669618226,0.01855604787589349,
wf_process,wf_process_1.5x,1.5,2019on,50.0,0.021528449589335974,0.025828389973951867,0.8415152148948453,-0.46649216182545983,0.6243104004693121,19.6472792047503,results/v7/trials/tc_recal.csv name=wf_process_1.5x_tc50 window=full (2019on slice per WS3 convention),0.007536048934869255,0.007367729701781363,0.022845467993647395,
wf_process,wf_process_1.5x,1.5,dev(2019-22),50.0,0.012242510953174968,0.014150586917239876,0.5979117322524083,-0.42300357740944183,0.3716686487234188,21.29134016141675,derived: tc_recal.csv wf_process_1.5x_tc50 equity sliced 2019-01-01..DEV_END,0.008126061572433008,0.00798425256053128,0.01776108794487974,
